home k8sworkersb-ubuntu-s-4vcpu-8gb-0-nyc1 
node2 k8sworkersb-ubuntu-s-4vcpu-8gb-1-tor1 
node3 k8sworkersb-ubuntu-s-4vcpu-8gb-2-nyc1 
node4 k8sworkersb-ubuntu-s-4vcpu-8gb-3-sfo2 
node5 k8sworkersb-ubuntu-s-4vcpu-8gb-4-sgp1 
node6 k8sworkersb-ubuntu-s-4vcpu-8gb-5-tor1 
node7 k8sworkersb-ubuntu-s-4vcpu-8gb-6-nyc3 
node8 k8sworkersb-ubuntu-s-4vcpu-8gb-7-blr1 
node9 k8sworkersb-ubuntu-s-4vcpu-8gb-8-ams3 
node10 k8sworkersb-ubuntu-s-4vcpu-8gb-9-fra1 
node11 k8sworkersb-ubuntu-s-4vcpu-8gb-10-ams3 
node12 k8sworkersb-ubuntu-s-4vcpu-8gb-11-lon1 
node13 k8sworkersb-ubuntu-s-4vcpu-8gb-12-tor1 
node14 k8sworkersb-ubuntu-s-4vcpu-8gb-13-blr1 
node15 k8sworkersb-ubuntu-s-4vcpu-8gb-14-sgp1 
node16 k8sworkersb-ubuntu-s-4vcpu-8gb-15-nyc1 
node17 k8sworkersb-ubuntu-s-4vcpu-8gb-16-fra1 
node18 k8sworkersb-ubuntu-s-4vcpu-8gb-17-tor1 
node19 k8sworkersb-ubuntu-s-4vcpu-8gb-18-fra1 
node20 k8sworkersb-ubuntu-s-4vcpu-8gb-19-sgp1 
node21 k8sworkersb-ubuntu-s-4vcpu-8gb-20-nyc1 
node22 k8sworkersb-ubuntu-s-4vcpu-8gb-21-blr1 
node23 k8sworkersb-ubuntu-s-4vcpu-8gb-22-sfo2 
node24 k8sworkersb-ubuntu-s-4vcpu-8gb-23-sgp1 
node25 k8sworkersb-ubuntu-s-4vcpu-8gb-24-blr1 
node26 k8sworkersb-ubuntu-s-4vcpu-8gb-25-blr1 
node27 k8sworkersb-ubuntu-s-4vcpu-8gb-26-nyc1 
node28 k8sworkersb-ubuntu-s-4vcpu-8gb-27-fra1 
node29 k8sworkersb-ubuntu-s-4vcpu-8gb-28-blr1 
node30 k8sworkersb-ubuntu-s-4vcpu-8gb-29-blr1 
node31 k8sworkersb-ubuntu-s-4vcpu-8gb-30-nyc1 
node32 k8sworkersb-ubuntu-s-4vcpu-8gb-31-ams3 
node33 k8sworkersb-ubuntu-s-4vcpu-8gb-32-fra1 
node34 k8sworkersb-ubuntu-s-4vcpu-8gb-33-nyc1 
node35 k8sworkersb-ubuntu-s-4vcpu-8gb-34-tor1 
node36 k8sworkersb-ubuntu-s-4vcpu-8gb-35-tor1 
