Task_name  local_input_file Enter_time Execute_time Finish_time Elapse_time Duration_time Waiting_time 
localpro   2botnet    1540887988.737933 1540887988.7435026 1540888003.7768064 15.038873434066772 15.03330373764038 0.0055696964263916016
aggregate2 1split     1540887900.1295311 1540887900.1440926 1540887915.1608613 15.031330108642578 15.01676869392395 0.01456141471862793
aggregate0 1split     1540887899.8236938 1540887899.8348267 1540887914.8589895 15.035295724868774 15.024162769317627 0.011132955551147461
localpro   3botnet    1540888093.7713454 1540888093.7777314 1540888108.7998402 15.028494834899902 15.022108793258667 0.0063860416412353516
aggregate1 2split     1540888005.0869377 1540888005.0914392 1540888020.1131897 15.026252031326294 15.021750450134277 0.0045015811920166016
simpledetector1 2merged    1540888021.2440214 1540888021.2483974 1540888036.2773945 15.0333731174469 15.02899718284607 0.004375934600830078
globalfusion 2fusion    1540888048.713271 1540888048.9393709 1540888058.9522629 10.238991975784302 10.012892007827759 0.22609996795654297
simpledetector2 2merged    1540888021.384631 1540888021.3895447 1540888036.4093146 15.024683713912964 15.01976990699768 0.004913806915283203
astutedetector0 2merged    1540888021.2903395 1540888021.2949984 1540888036.3912303 15.100890874862671 15.096231937408447 0.004658937454223633
fusioncenter1 1anomalies 1540887932.3476245 1540887932.5526814 1540887942.5715847 10.223960161209106 10.018903255462646 0.20505690574645996
fusioncenter1 2anomalies 1540888037.425743 1540888037.6085577 1540888047.627583 10.201839923858643 10.019025325775146 0.1828145980834961
fusioncenter0 1anomalies 1540887932.2156563 1540887932.5146706 1540887942.5470054 10.33134913444519 10.032334804534912 0.2990143299102783
aggregate2 2split     1540888005.2269704 1540888005.2321799 1540888020.250466 15.0234956741333 15.018286228179932 0.005209445953369141
aggregate0 2split     1540888004.9114795 1540888004.9167628 1540888019.9418254 15.030345916748047 15.025062561035156 0.005283355712890625
fusioncenter0 2anomalies 1540888037.2596567 1540888037.5532806 1540888047.5713556 10.311698913574219 10.018074989318848 0.2936239242553711
fusioncenter2 2anomalies 1540888037.555396 1540888037.7752302 1540888047.7910955 10.23569941520691 10.015865325927734 0.2198340892791748
aggregate1 1split     1540887899.9781463 1540887899.9902747 1540887915.0140877 15.035941362380981 15.023813009262085 0.012128353118896484
localpro   1botnet    1540887883.6325562 1540887883.6536846 1540887898.688163 15.055606842041016 15.034478425979614 0.021128416061401367
simpledetector2 1merged    1540887916.3187952 1540887916.3315685 1540887931.3506355 15.031840324401855 15.01906704902649 0.012773275375366211
astutedetector0 1merged    1540887916.1801527 1540887916.1894803 1540887931.3315032 15.151350498199463 15.142022848129272 0.00932765007019043
astutedetector2 2merged    1540888021.5665655 1540888021.5714917 1540888036.6437676 15.077202081680298 15.072275876998901 0.004926204681396484
fusioncenter2 1anomalies 1540887932.4923677 1540887932.7447584 1540887942.7583177 10.265949964523315 10.013559341430664 0.25239062309265137
astutedetector1 2merged    1540888021.3874514 1540888021.3953028 1540888036.4739957 15.086544275283813 15.07869291305542 0.007851362228393555
simpledetector0 1merged    1540887915.9963224 1540887916.0076795 1540887931.0330899 15.036767482757568 15.025410413742065 0.01135706901550293
simpledetector0 2merged    1540888021.0782228 1540888021.0828264 1540888036.0969882 15.018765449523926 15.014161825180054 0.00460362434387207
globalfusion 1fusion    1540887943.6964035 1540887943.896217 1540887953.9205542 10.224150657653809 10.02433705329895 0.1998136043548584
astutedetector2 1merged    1540887916.5084643 1540887916.518928 1540887931.6016529 15.093188524246216 15.082724809646606 0.010463714599609375
astutedetector1 1merged    1540887916.3274055 1540887916.3400872 1540887931.419285 15.091879606246948 15.079197883605957 0.012681722640991211
simpledetector1 1merged    1540887916.175504 1540887916.1880856 1540887931.207869 15.032365083694458 15.01978349685669 0.012581586837768555
